"","AAV2020","CODGEO","LIBAAV2020","CATEAAV2020","DEP","REG","TAAV2017","TDAAV2017","NB_COM"
"5860","000","26193","Commune hors attraction des villes","30","26","84","0","00",8932
"5861","000","73132","Commune hors attraction des villes","30","73","84","0","00",8932
"5862","000","52286","Commune hors attraction des villes","30","52","44","0","00",8932
"5863","000","17330","Commune hors attraction des villes","30","17","75","0","00",8932
"5864","000","36001","Commune hors attraction des villes","30","36","24","0","00",8932
"5865","000","53184","Commune hors attraction des villes","30","53","52","0","00",8932
"5866","000","26199","Commune hors attraction des villes","30","26","84","0","00",8932
"5867","000","42084","Commune hors attraction des villes","30","42","84","0","00",8932
"5868","000","26201","Commune hors attraction des villes","30","26","84","0","00",8932
"5869","000","42086","Commune hors attraction des villes","30","42","84","0","00",8932
"5870","000","65140","Commune hors attraction des villes","30","65","76","0","00",8932
"5871","000","80022","Commune hors attraction des villes","30","80","32","0","00",8932
"5872","000","21395","Commune hors attraction des villes","30","21","27","0","00",8932
"5873","000","42090","Commune hors attraction des villes","30","42","84","0","00",8932
